Município;Situação;Âmbito;Valor do Contrato;Contratada;CNPJ da Contratada;Contratante;Ano do Contrato;Descrição da Obra
Brotas;Em execução  no prazo;MUNICIPAL;649700;BRAMER CONSTRUTORA E PAISAGISMO LTDA;23.610.910/000191;PREFEITURA MUNICIPAL DE BROTAS;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA MEDIANTE FORNECIMENTO DE MATERIAIS MÃO DE OBRA ESPECIALIZADA EQUIPAMENTOS ACESSÓRIOS E INFRAESTRUTURA NECESSÁRIA À EXECUÇÃO DOS TRABALHOS COM RECURSOS FINANCEIROS ORIUNDOS DO MINISTÉRIO DO ESPORTE.
Brotas;Em execução  no prazo;MUNICIPAL;555026,71;DATEC CONSTRUCAO E INFRAESTRUTURA LTDA;50.404.987/000188;PREFEITURA MUNICIPAL DE BROTAS;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM CBUQ E IMPLANTAÇÃO DE GUIAS SARJETAS E GALERIAS DE ÁGUAS PLUVIAIS EM VIAS URBANAS DE ACESSO PARA A REPRESA DO PATRIMÔNIO (RUA ANGELO MENEGHETTI E RUA ANTONIO FAVORETTO) COM RECURSOS FINANCEIROS ORIUNDOS DO FUNDO DE MELHORIAS DOS MUNICÍPIOS TURÍSTICOS ATRAVÉS DE CONVÊNIO ENTRE A SECRETARIA DE TURISMO E O MUNICÍPIO DE BROTAS
Brotas;Em execução  no prazo;MUNICIPAL;12700;H2O RESERVATORIOS LTDA;34.489.517/000108;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2020;CAIXA DE PASSAGEM DE ÁGUA NO PATIMONIO (POÇOS X RESERVATÓRIO)
Brotas;Em execução  no prazo;MUNICIPAL;280831,92;THESIS ENGENHARIA E SANEAMENTO LTDA;08.419.940/000121;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2019;IMPLANTAÇÃO FÍSICA DO SETOR 11 (CAMPOS ELÍSEOS II) E IMPLANTAÇÃO DE MACROMEDIDORES DE VAZÃO.
Brotas;Em execução  no prazo;MUNICIPAL;42809,93;R F PORTO ENGENHARIA E ARQUITETURA LTDA;14.850.282/000120;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2019;CONSTRUÇÃO DE BASE PARA SUSTENTAÇÃO DE RESERVATÓRIO DE ÁGUA TRATADA PARA CONSUMO HUMANO
Brotas;Em execução  no prazo;MUNICIPAL;61610;L2J SOLUCOES TECNOLOGICAS LTDA;32.310.540/000168;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2019;AMPLIAÇÃO DO SISTEMA SUPERVISÓRIO DE ABASTECIMENTO DE ÁGUA COM INCLUSÃO DE NOVOS PONTOS
Brotas;Em execução  no prazo;MUNICIPAL;60063,39;HJSF LTDA;28.371.544/000189;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2019;INSTALAÇÃO DE POSTO DE TRANSFORMAÇÃO 150 KVA ETE.
Brotas;Em execução  no prazo;MUNICIPAL;268219,3;THESIS ENGENHARIA E SANEAMENTO LTDA;08.419.940/000121;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2018;REFORMA DE RESERVATÓRIOS METÁLICOS DE ÁGUA
Brotas;Em execução  no prazo;MUNICIPAL;148721;VECTOR SERVICOS LTDA.;04.824.486/000133;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2018;IMPLANTAÇÃO DE MACROMEDIÇÃO E AMPLIAÇÃO/MELHORIAS DO SISTEMA DE TELEMETRIA E AUTOMAÇÃO
Brotas;Em execução  no prazo;MUNICIPAL;62975;E.MATSUO TRATAMENTO DE EFLUENTES LTDA;26.791.064/000141;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2018;PROJETOS DE ENGENHARIA PARA AMPLIAÇÃO DA ESTAÇÃO DE TRATAMENTO DE ESGOTOS
Brotas;Em execução  no prazo;MUNICIPAL;48281,45;ULISSES BARBOSA S.J. DO RIO PRETO;03.113.092/000104;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2017;POSTO DE TRANSFORMAÇÃO 300 KVA  ESTAÇÃO DE TRATAMENTO DE ÁGUA
Brotas;Em execução  no prazo;MUNICIPAL;31216,6;BFA MULTIEMPRESA LTDA.;05.453.700/000155;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2017;CONSTRUÇÃO DE MURO DE CONTENÇÃO TIPO GABIÃO PARA ELEVAÇÃO DE NÍVEL DO CÓRREGO GOUVEIA
Brotas;Em execução  no prazo;MUNICIPAL;90259,2;TOTAL DO BRASIL CONSTRUTORA LTDA;14.327.020/000186;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2017;CONTRUÇÃO DE CERCAS DE ALAMBRADO
Brotas;Em execução  no prazo;MUNICIPAL;29984;PROINT COMERCIO E SERVICOS LTDA;28.043.513/000107;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE BROTAS;2017;CONJUNTOS MOTOR BOMBA PARA BOMBEAMENTO DE ÁGUA CAPTAÇÃO GOUVEIA
Buri;Em execução  no prazo;MUNICIPAL;237722,82;MAYCOM VARELA DOS SANTOS SILVA;29.961.807/000172;CÂMARA MUNICIPAL DE BURI;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA EXECUÇÃO DA OBRA DE REFORMA DO PLENÁRIO DA CÂMARA MUNICIPAL DE BURI  SP CONFORME ESPECIFICAÇÕES TÉCNICAS PREVISTAS NO PROJETO BÁSICO LOTE 01  REFORMA DO PLENÁRIO CÂMARA MUNICIPAL DE BURI E PISO EXTERNO DO PÁTIO CONFORME MEMORIAL DESCRITIVO; LOTE 02  TROCA DAS TELHAS CALHAS RUFOS E PINGADEIRAS DO SALÃO PLENÁRIO DA CÂMARA MUNICIPAL DE BURI.  TROCA DAS CALHAS DO TELHADO EM GERAL DO PRÉDIO DA CÂMARA CONFORME MEMORIAL DESCRITIVO.
Buri;Em execução  no prazo;MUNICIPAL;587564,94;MAYCOM VARELA DOS SANTOS SILVA;29.961.807/000172;PREFEITURA MUNICIPAL DE BURI;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA  PARA PRESTAÇÃO DE SERVIÇOS PARA A REFORMA E AMPLIAÇÃO DO PREDIO DA UNIDADE ESCOLAR CRECHE TEREZA LEITÃO DE FREITASEM ATENDIMENTO A PREFEITURA MUNICIPAL DE BURI.
Buri;Em execução  no prazo;MUNICIPAL;99554,46;JOSIAS FRANCISCO MARIANO DE OLIVEIRA 22886357898;45.838.189/000124;PREFEITURA MUNICIPAL DE BURI;2022;
Buri;Em execução  no prazo;MUNICIPAL;158041,88;MARIA GABRIELA PEREIRA SANTOS;17.452.217/000135;PREFEITURA MUNICIPAL DE BURI;2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE PAVIMENTAÇÃO EM LAJOTA SEXTAVADA NA RUA ENOQUE SANTIAGO BARBOSA  BAIRRO DA CAPELINHA CONFORME CONVÊNIO FIRMADO COM A SECRETARIA DE DESENVOLVIMENTO REGIONAL DO ESTADO DE SÃO PAULO  CONVÊNIO N 100282/2021 INCLUINDO MÃO DE OBRA MATERIAIS E EQUIPAMENTOS NECESSÁRIOS EM ATENDIMENTO À PREFEITURA MUNICIPAL DE BURI  SP
Buri;Em execução  no prazo;MUNICIPAL;7399772;CONSORCIO JHDSIMETRICA;31.232.264/000102;PREFEITURA MUNICIPAL DE BURI;2018;PRESTAÇÃO DE SERVIÇOS PARA A CONSTRUÇÃO DO CENTRO DE REFERENCIA EM EDUCAÇÃO DO MUNICIPIO DE BURISP NO IMOVEL SITUADO A RUA DELFINO NUNES DA FONSECA S/N  CENTRO INCULINDO MATERIAIS  E EQUIPAMENTOS NECESSARIOS EM ATENDIMENTO A PREFEITURA MUNICIPAL DE BURI.
Buri;Em execução  no prazo;MUNICIPAL;96570,13;CONSTRUTORA ALVES & LOPES LTDA;05.451.820/000113;PREFEITURA MUNICIPAL DE BURI;2019;A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A CONFECÇÃO E INSTALAÇÃO DE GRADES DE PROTEÇÃO EM PREDIOS PERTENCENTES A PREFEITURA MUNICIPAL DE BURISP.
Buri;Em execução  no prazo;MUNICIPAL;69850,25;FUCA COMUNICACAO VISUAL, FACHADAS E SERVICOS LTDA;30.110.838/000107;PREFEITURA MUNICIPAL DE BURI;2019;CONTRATAÇAO DE EMPRESA ESPECIALIZADA PARA REFORMA DO PREDIO DA COZINHA PILOTO MUNICIPAL SITUADA A RUA MARECHAL DEODORO DA FONSECA S/N CENTRO EM ATENDIMENTO A PREFEITURA MUNICIPAL DE BURI.
Buri;Paralisada;MUNICIPAL;386556,38;CONSTRUTORA ALVES & LOPES LTDA;05.451.820/000113;PREFEITURA MUNICIPAL DE BURI;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE REFORMA E AMPLIAÇÃO DA UNIDADE DE SAUDE PSF SÃO JOSÉ À RUA REGENTE FEIJOS/NALEM LINHA NO MUNICIPIO DE BURICOM FORNECIMENTO DE MATERIAL E MÃO DE OBRACONFORME PROPOSTA DA EMENDA PARLAMENTAR N 36000.1909772/01800.
Buri;Em execução  no prazo;MUNICIPAL;138449,32;CONSTRUTORA MARTINS E SOUZA LTDA;21.256.807/000160;PREFEITURA MUNICIPAL DE BURI;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS PARA EDIFICAÇÃO DE 3 (TRÊS) UNIDADES HABITACIONAIS POPULARES DE INTERESSE SOCIAL PARA ATENDER FAMILIAS EM ESTADO DE RISCO E DE VULNERABILIDADECONFORME LAUDO DE VISTORIA DA COMISSÃO MUNICIPAL DE DEFESA CIVIL.
Buri;Em execução  no prazo;MUNICIPAL;219911,23;CONSTRUTORA ALVES & LOPES LTDA;05.451.820/000113;PREFEITURA MUNICIPAL DE BURI;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZAÇÃO PARA PRESTAÇÃO DE SERVIÇOS PARA REFORMA EM SALAS DO PRÉDIO EXISTENTE DO PRONTO ATENDIMENTO MUNICIPAL.
Buri;Em execução  no prazo;MUNICIPAL;149998,04;PORT CON CONSTRUTORA LTDA;55.980.858/000151;PREFEITURA MUNICIPAL DE BURI;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS PARA PAVIMENTAÇÃO DA ESTRADA BUR 101 QUE LIGA A ESTRADA VICINAL JOAQUIM LOPES DE ALMEIDA KM 19 AO BAIRRO SANTA TEREZINHA NO MUNICIPIO DE BURISP.
Buri;Em execução  no prazo;MUNICIPAL;532578,54;ELISEU FERREIRA DE ALBUQUERQUE JUNIOR;06.266.849/000198;PREFEITURA MUNICIPAL DE BURI;2018;PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DE DRENAGEM PLUVIAL CALÇADAS GUIAS/SARJETA PAVIMENTAÇÃO EM LAJOTA E SINALIZAÇÃO NA RUA LOCALIZADA NO BAIRRO NOVA ESPERANÇA INCLUINDO MAO DE OBRA MATERIAIS E EQUIPAMENTOS NECESSARIOS
Buri;Em execução  no prazo;MUNICIPAL;306190,85;COMERCIAL E CONSTRUTORA GALVAO & GALVAO LTDA;07.606.856/000154;PREFEITURA MUNICIPAL DE BURI;2018;PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA PARA A REFORMA E AMPLIAÇÃO NA EM CORONEL VITALINO DE BARROS SITUADO A RUA RUI BARBOSA S / N  CENTRO INCLUINDO MAO DE OBRA MATERIAIS E EQUIPAMENTOS NECESSARIOS EM ATENDIMENTO A PREFEITURA MUNICIPAL DE BURI  SP.
Buri;Em execução  no prazo;MUNICIPAL;197400;CONSTROI LTDA;04.465.481/000161;PREFEITURA MUNICIPAL DE BURI;2018;IMPLANTAÇÃO DE ESTRUTURAS DE PREVENÇÃO E DEFESA CONTRA INUNDAÇÕES NA AVENIDA PASCOAL SPALUTO  CENTRO INCLUINDO MAO DE OBRA E EQUIPAMENTOS NECESSARIOS EM ATENDIMENTO A PREFEITURA MUNICIPAL DE BURI  SP.
Buri;Em execução  no prazo;MUNICIPAL;137675,09;ELISETE DE MELLO COSTA & CIA LTDA;12.662.200/000199;PREFEITURA MUNICIPAL DE BURI;2018;CONSTRUÇÃO DO MURO NO IMOVEL SITUADO NA AVENIDA PASCOAL SPALUTO S/N  CAPELINHA INCLUINDO MÃO DE OBRA MATERIAIS E EQUIPAMENTOS NECESSARIOS EM ATENDIMENTO A PREFEITURA MUNICIPAL DE BURI SP
Buri;Em execução  no prazo;MUNICIPAL;50646,54;MADEIREIRA M. M. C. CORREA LTDA;14.453.449/000110;PREFEITURA MUNICIPAL DE BURI;2018;CONSTRUÇÃO DE MURO FRONTAL NA ESCOLA MUNICIPAL JONAS PIRES EM ATENDIMENTO A PREFEITURA MUNCIPAL DE BURISP.
Buri;Em execução  no prazo;MUNICIPAL;389425,93;CONSTRUTORA ALVES & LOPES LTDA;05.451.820/000113;PREFEITURA MUNICIPAL DE BURI;2018;CONTRATAÇAO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA PARA AMPLIAÇÃO DO ANEXO DO PRONTO ATENDIMENTO MUNICIPAL SITUADO A RUA RUI BARBOSA N 158 NO CENTRO DA CIDADE DE BURI INCLUINDO MATERIAIS E EQUIPAMENTOS NECESSARIOS EM ATENDIMENTO A PREFEITURA MUNICIPAL DE BURISP.
Buritama;Em execução  no prazo;MUNICIPAL;560788,66;PINA CONSTRUTORA E SERVICOS LTDA;25.276.950/000174;CÂMARA MUNICIPAL DE BURITAMA;2019;CORRESPONDENTE A AMPLIAÇÃO DO PRÉDIO DA CÂMARA.
Buritama;Em execução  no prazo;MUNICIPAL;194900;EDIFICA VALE ENGENHARIA LTDA;23.941.525/000127;PREFEITURA MUNICIPAL DE BURITAMA;2024;CONTRATACAO DE EMPREITADA POR PRECO GLOBAL PARA FORNECIMENTO  EXECUCAO DE COBERTURA DE QUADRA DA ACADEMIA DA SAUDE LOCALIZADA NA RUA ARINO DELLA COLLETA ESQUINA COM A RUA CUNHA BUENO NO MUNICIPIO DE BURITAMASP CONTRATACAO DE EMPREITADA POR PRECO GLOBAL PARA FORNECIMENTO  EXECUCAO DE COBERTURA DE QUADRA DA ACADEMIA DA SAUDE LOCALIZADA NA RUA ARINO DELLA COLLETA ESQUINA COM A RUA CUNHA BUENO NO MUNICIPIO DE BURITAMASP
Buritizal;Em execução  no prazo;MUNICIPAL;973372,26;HT CONSTRUCOES LTDA;15.712.894/000110;PREFEITURA MUNICIPAL DE BURITIZAL;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA EXECUÇÃO DE OBRA DA TRAVESSIA DO CÓRREGO BURITIS EM ADUELAS DE CONCRETO ARMADO CONFORME TERMO DE CONVÊNIO N° CMIL  030/630/2024 COM O ESTADO DE SÃO PAULO ATRAVÉS DA COORDENADORIA ESTADUAL DE PROTEÇÃO E DEFESA CIVIL
Buritizal;Em execução  no prazo;MUNICIPAL;380000;HT CONSTRUCOES LTDA;15.712.894/000110;PREFEITURA MUNICIPAL DE BURITIZAL;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA EXECUÇÃO DE OBRA DE DRENAGEM DE ÁGUAS PLUVIAIS (GALERIAS) CONFORME CONVENIO Nº 103913/2023 COM A SECRETARIA DO ESTADO E RELAÇÕES INSTITUCIONAIS
Buritizal;Em execução  no prazo;MUNICIPAL;204000;F.E.L.D.P. CONSTRUCOES LTDA;20.182.155/000101;PREFEITURA MUNICIPAL DE BURITIZAL;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA EXECUÇÃO DE OBRA DE AMPLIAÇÃO NA PISCINA COBERTA COM CONSTRUÇÃO DE VESTIÁRIOS.
Buritizal;Em execução  no prazo;MUNICIPAL;66765,47;CAF  ENGENHARIA CONSTRUCOES E COMERCIO LTDA;07.792.958/000101;PREFEITURA MUNICIPAL DE BURITIZAL;2023;SERVIÇOS DE ENGENHARIA REFERENTE A REFORMA DO PRÉDIO PÚBLICO (PAÇO MUNICIPAL)  ESTACIONAMENTO
Buritizal;Em execução  no prazo;MUNICIPAL;607545,62;F.E.L.D.P. CONSTRUCOES LTDA;20.182.155/000101;PREFEITURA MUNICIPAL DE BURITIZAL;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE REFORMA E AMPLIAÇÃO DO PRÉDIO DO CENTRO DE ATENDIMENTO ESPECIALIZADO
Buritizal;Em execução  no prazo;MUNICIPAL;957527,28;BRASIL RONDON CONSTRUCOES LTDA;09.065.576/000101;PREFEITURA MUNICIPAL DE BURITIZAL;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA ÁREA DE ENGENHARIA E/OU ARQUITETURA  PARA A EXECUÇÃO DA OBRA REFORMA E AMPLIAÇÃO DO PARQUE DE EXPOSIÇÕES PEDRO SCHIAVOTELO SOBRINHO LOCALIZADO A RUA PARANÁ Nº 100 CENTRO NO REGIME DE EMPREITADA POR PREÇO GLOBAL PARA ATENDER AS NECESSIDADES DA PREFEITURA MUNICIPAL.
Buritizal;Em execução  no prazo;MUNICIPAL;653073,79;BRASIL RONDON CONSTRUCOES LTDA;09.065.576/000101;PREFEITURA MUNICIPAL DE BURITIZAL;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA ÁREA DE ENGENHARIA PARA EXECUÇÃO DE EDIFICAÇÃO (GALPÃO MULTIÚSO) NO MUNICÍPIO DE BURITIZAL/SP DE ACORDO COM O TERMO DE CONVÊNIO 101834/2021 CELEBRADO COM O GOVERNO DO ESTADO DE SÃO PAULO ATRAVÉS DA SECRETARIA DE DESENVOLVIMENTO REGIONAL.
Buritizal;Em execução  no prazo;MUNICIPAL;330310,7;BRASIL RONDON CONSTRUCOES LTDA;09.065.576/000101;PREFEITURA MUNICIPAL DE BURITIZAL;2021;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA ÁREA DE ENGENHARIA PARA ADEQUAÇÃO DE ACESSIBILIDADE NA E.M.E.I. MERCEDES IGNACIO CERVILHA LOCALIZADO NA RUA PARANÁ N° 200  CENTRO NO MUNICÍPIO DE BURITIZAL.
Cabreúva;Em execução  no prazo;MUNICIPAL;3029719,77;VIGENT CONSTRUCOES LTDA;15.320.722/000109;PREFEITURA MUNICIPAL DE CABREÚVA;2024;OBRAS E CONSTRUCOES
Cabreúva;Em execução  atrasada;MUNICIPAL;323286,22;LOTUS CONSTRUTORA LTDA;42.460.589/000150;PREFEITURA MUNICIPAL DE CABREÚVA;2023;CONTRATACAO DE EMPRESA PARA ADEQUACAO DE LABORATOROS DE INFORMATICA NAS ESCOLAS
Cabreúva;Em execução  atrasada;MUNICIPAL;5938810,24;SLN TELECOMUNICACOES E ENGENHARIA LTDA;18.318.739/000101;PREFEITURA MUNICIPAL DE CABREÚVA;2024;IMPLANTACAO DO NOVO PACO MUNICIPAL
Cabreúva;Paralisada;MUNICIPAL;9262131,5;URBAN OBRAS E COMERCIO LTDA;18.131.889/000101;PREFEITURA MUNICIPAL DE CABREÚVA;2023;CONTRATACAO DE EMPRESA PARA CONSTRUCAO D O PARQUEINEAR
Cabreúva;Em execução  atrasada;MUNICIPAL;9096330,21;CONSTRUTORA PROGREDIOR LTDA;56.838.949/000110;PREFEITURA MUNICIPAL DE CABREÚVA;2023;CONTRACAO DE EMPRESA PARA IMPLANTACAO DO CLUBE MUNCIPAL CABREUVANO
Cabreúva;Em execução  atrasada;MUNICIPAL;14349409,39;MAROSTICCA ENGENHARIA E PARTICIPACOES LTDA;01.133.441/000124;PREFEITURA MUNICIPAL DE CABREÚVA;2022;REFORMA E AMPLIACAO DA SANTA CASA
Cabreúva;Em execução  atrasada;MUNICIPAL;6698697,66;MAROSTICCA ENGENHARIA E PARTICIPACOES LTDA;01.133.441/000124;PREFEITURA MUNICIPAL DE CABREÚVA;2023;CONTRATACAO DE EMPRESA DE ENGENHARIA PAR A CONSTRUAO DO CENTRO ADMINISTRATIVO
Cabreúva;Em execução  atrasada;MUNICIPAL;994621,01;ROMME CONSTRUTORA LTDA;06.229.343/000109;PREFEITURA MUNICIPAL DE CABREÚVA;2022;OBRAS E CONSTRUCOES
Cabreúva;Em execução  atrasada;MUNICIPAL;7076579,9;MAROSTICCA ENGENHARIA E PARTICIPACOES LTDA;01.133.441/000124;PREFEITURA MUNICIPAL DE CABREÚVA;2022;OBRAS E CONSTRUCOES
Caçapava;Em execução  no prazo;MUNICIPAL;3633091,44;COMPEC GALASSO ENGENHARIA E CONSTRUCOES LTDA;09.033.330/000158;PREFEITURA MUNICIPAL DE CAÇAPAVA;2018;SERVICOS DE EXECUCAO DE RECAPEAMENTO EMVIAS PRACAS OU AVENIDAS.
Caçapava;Em execução  no prazo;MUNICIPAL;746341,12;CONSTRUTORA & INCORPORADORA ZANINI SJCAMPOS LTDA;03.827.115/000142;PREFEITURA MUNICIPAL DE CAÇAPAVA;2018;REFORMA NO GINASIO MUNICIPAL DE ESPORTES
Caçapava;Em execução  no prazo;MUNICIPAL;598965,51;E X M CONSTRUTORA E INCORPORADORA LTDA.;06.319.581/000105;PREFEITURA MUNICIPAL DE CAÇAPAVA;2017;
Caçapava;Em execução  no prazo;MUNICIPAL;6978,79;E X M CONSTRUTORA E INCORPORADORA LTDA.;06.319.581/000105;PREFEITURA MUNICIPAL DE CAÇAPAVA;2017;
Caçapava;Em execução  no prazo;MUNICIPAL;1154412,36;VERDEBIANCO ENGENHARIA LTDA;03.992.945/000125;PREFEITURA MUNICIPAL DE CAÇAPAVA;2017;IMPLANTACAO DO SISTEMA DE ESGOTAMENTOSANITARIO NA VILA PERINHO
Cachoeira Paulista;Em execução  no prazo;MUNICIPAL;1265772,52;GODOY ARTEFATOS DE CIMENTO LTDA;08.569.678/000100;PREFEITURA MUNICIPAL DE CACHOEIRA PAULISTA;2018;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO EM PISO INTERTRAVADO COM BLOCO SEXTAVADO NO BAIRRO SANTA TEREZINHA NO MUNICÍPIO DE CACHOEIRA PAULISTA/SP
Caconde;Em execução  atrasada;MUNICIPAL;193112,65;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2023;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DA REFORMA NO PRÉDIO ONDE FUNCIONA O CENTRO MUNICIPAL DE SAÚDE DE CACONDE
Caconde;Em execução  no prazo;MUNICIPAL;753432,21;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO RAMO DE CONSTRUÇÃO CIVIL PARA REFORMA / RESTAURO DA SEDE DO DEPARTAMENTO DE EDUCAÇÃO
Caconde;Em execução  no prazo;MUNICIPAL;1101395;GPOWER SOLUTION ENGENHARIA LTDA;23.047.748/000145;PREFEITURA MUNICIPAL DE CACONDE;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS DE INSTALAÇÕES ELÉTRICA PARA REFORMA DA ESTAÇÃO DE TRATAMENTO DE ESGOTO DO MUNICÍPIO DE CACONDE
Caconde;Em execução  no prazo;MUNICIPAL;430381,84;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRAS DE INFRAESTRUTURA URBANA ? REDE DE ÁGUAS PLUVIAIS E ESCADA HIDRÁULICA COM CONTENÇÃO OBRA RELATIVA À DEMANDA 48046/2022
Caconde;Em execução  no prazo;MUNICIPAL;2363371,75;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2023;CONTRATAÇÃO DE EMPRESA NO RAMO DE CONSTRUÇÃO CIVIL PARA REFORMA E REVITALIZAÇÃO DO ESPAÇO CULTURAL RANIERI MAZZILLI CONVÊNIO Nº. 000046/2022.
Caconde;Em execução  no prazo;MUNICIPAL;136240,69;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2023;CONTRATAÇÃO DE EMPRESA NO RAMO DE CONSTRUÇÃO CIVIL PARA EXECUÇÃO DE OBRAS ESCADA BAIRRO SÃO JOSÉ CONVÊNIO Nº 102238/2022
Caconde;Em execução  no prazo;MUNICIPAL;3298027,24;PAVIDEZ ENGENHARIA LTDA;01.744.153/000106;PREFEITURA MUNICIPAL DE CACONDE;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM INFRAESTRUTURA URBANA OBJETIVANDO EXECUTAR OBRA DE RECAPEAMENTO E PAVIMENTAÇÃO ASFÁLTICA
Caconde;Em execução  no prazo;MUNICIPAL;39258,65;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA REFORMA DA ESCOLA EMEB MONTEIRO LOBATO NÚCLEO SÃO JOSÉ
Caconde;Em execução  no prazo;MUNICIPAL;415424,94;PAVIDEZ ENGENHARIA LTDA;01.744.153/000106;PREFEITURA MUNICIPAL DE CACONDE;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO DE INFRAESTRUTURA PAVIMENTAÇÃO ASFALTICA  E DRENAGEM NO DISTRITO DE BARRANIA
Caconde;Em execução  atrasada;MUNICIPAL;1209536,8;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2022;CONTRATAÇÃO DE EMPRESA NO RAMO DE CONSTRUÇÃO CIVIL PARA OBRAS E MELHORIAS NA INFRAESTRUTURA DO PARQUE PRAINHA  DADE 2021
Caconde;Em execução  no prazo;MUNICIPAL;166093,03;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2021;INFRAESTRUTURA (DRENAGEM PLUVIAL E REDE AGUA) NA RUA HUGO CESAR DE SOUZA CORREA DE ACORDO COM O CONVENIO Nº. 100110/2021
Caconde;Em execução  no prazo;MUNICIPAL;349303,4;CONSTRUTORA JGX LTDA;42.153.187/000103;PREFEITURA MUNICIPAL DE CACONDE;2021;CONTRATAÇÃO DE EMPRESA NO RAMO DE CONSTRUÇÃO CIVIL PARA REFORMA DA ESCOLA ERNESTO CARDOSO DE PAIVA CONFORME MEMORIAL DESCRITIVO
Caconde;Em execução  no prazo;MUNICIPAL;423024,66;CONSTRUARCE LTDA;22.486.092/000102;PREFEITURA MUNICIPAL DE CACONDE;2020;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PRA OBRAS E SERVIÇOS DE ENGENHARIA DE MODO A EXECUTAR A REFORMA E REVITALIZAÇÃO DO AQUÁRIO MUNICIPAL. CONFORME CONVÊNIO Nº. 881795/2018.
